# Near Earth Objects Data
# Generated: 2025-11-27 20:51:01
# Total objects: 185

номер,Название,Обозначение,Перигелий,Афелий,Минимальное расстояние до Земли,Абсолютная магнитуда,Является NEO,Потенциально опасен
7335,,,0.9137677,2.631,0.02147,17.7,True,True
7336,Saunders,,1.1953982,3.417,0.19081,18.8,True,False
7341,,,0.9095138,2.774,0.0481,16.96,True,True
7350,,,0.8257767,1.886,0.07992,17.16,True,False
7358,Oze,,1.0938825,3.303,0.12317,14.72,True,False
7474,,,1.1083443,2.023,0.16728,18.11,True,False
7480,Norwan,,1.0710266,2.065,0.16123,17.24,True,False
7482,,,0.9044096,1.793,0.00069,16.58,True,True
7753,,,0.7606242,2.174,0.00653,18.01,True,True
7822,,,0.9378813,1.308,0.02264,17.34,True,True
7839,,,1.0421942,3.289,0.13581,17.83,True,False
7888,,,0.8210021,4.053,0.08748,15.19,True,False
7889,,,0.8247014,1.698,0.1549,15.24,True,False
7977,,,1.1876864,3.263,0.35609,15.15,True,False
8013,Gordonmoore,,1.2518008,3.153,0.2493,17.09,True,False
8014,,,0.9505294,2.544,0.01689,18.88,True,True
8034,Akka,,1.0817785,2.579,0.07468,18.02,True,False
8035,,,0.7214981,1.963,0.27388,17.11,True,False
8037,,,1.1567687,2.816,0.20046,16.63,True,False
8176,,,0.5620168,2.588,0.19282,17.0,True,False
8201,,,0.74629,4.333,0.10086,15.94,True,False
8507,,,0.6843537,2.691,0.21973,17.21,True,False
8566,,,0.8581965,2.155,0.0214,16.47,True,True
8567,,,1.1269742,2.964,0.12153,15.36,True,False
8709,Kadlu,,1.2745065,3.768,0.25825,17.07,True,False
9058,,,0.9971062,2.117,0.08373,17.81,True,False
9162,Kwiila,,0.6053771,2.388,0.08066,18.01,True,False
9172,Abhramu,,1.2118834,4.208,0.2516,16.64,True,False
9202,,,0.558447,2.289,0.37383,16.1,True,False
9400,,,1.0848305,4.091,0.28483,14.84,True,False
9856,,,0.8393854,3.646,0.02218,17.09,True,True
9950,ESA,,1.1395248,3.738,0.28105,16.21,True,False
10115,,,0.8429916,1.654,0.04443,17.1,True,True
10145,,,0.6982646,3.102,0.06263,17.0,True,False
10150,,,1.0823597,3.666,0.22548,15.45,True,False
10165,,,0.6125868,1.857,0.37569,17.36,True,False
10302,,,1.0985166,1.447,0.08052,19.47,True,False
10563,Izhdubar,,0.7387167,1.275,0.14553,16.93,True,False
10636,,,0.9180544,2.851,0.11057,17.7,True,False
10860,,,1.0950055,4.06,0.11042,17.02,True,False
11054,,,1.0953935,2.863,0.12286,17.07,True,False
11066,Sigurd,,0.8691952,1.914,0.11797,15.17,True,False
11284,Belenus,,1.1532828,2.327,0.16864,18.25,True,False
11311,Peleus,,0.9823466,3.251,0.09515,15.74,True,False
11398,,,1.0513705,2.391,0.20247,16.38,True,False
11405,,,0.884805,2.034,0.1184,15.22,True,False
11500,Tomaiyowit,,0.6955976,1.464,0.03438,18.38,True,True
11885,Summanus,,0.8950279,2.511,0.06615,18.52,True,False
12538,,,0.9158457,2.167,0.03022,15.96,True,True
12711,Tukmit,,0.8635956,1.509,0.11236,16.04,True,False
12923,Zephyr,,0.9967794,2.929,0.02138,15.8,True,True
13553,Masaakikoyama,,1.1739731,3.204,0.18978,16.54,True,False
13651,,,0.9272231,1.744,0.0156,17.89,True,True
14402,,,1.0259996,2.404,0.10239,18.77,True,False
14827,Hypnos,,0.9519063,4.73,0.0153,18.81,True,True
15745,Yuliya,,1.2803308,2.159,0.29422,17.4,True,False
15817,Lucianotesi,,1.1679114,1.481,0.24877,18.47,True,False
16064,Davidharvey,,1.1697686,4.528,0.20182,16.86,True,False
